app,scenario,run,broken_locator,correct_locator,success,mttr_s
ghost,S1,1,.gh-btn,.gh-btn-primary,True,0.0554
ghost,S1,2,.gh-btn,.gh-btn-primary,True,0.0524
ghost,S1,3,.gh-btn,.gh-btn-primary,True,0.0443
ghost,S2,1,.gh-btn-primary,.gh-btn-primary,False,0.0394
ghost,S2,2,.gh-btn-primary,.gh-btn-primary,False,0.0402
ghost,S2,3,.gh-btn-primary,.gh-btn-primary,False,0.0364
opencart,S1,1,.btn-success,.btn-primary,False,0.0361
opencart,S1,2,.btn-success,.btn-primary,False,0.0369
opencart,S1,3,.btn-success,.btn-primary,False,0.0353
opencart,S2,1,#button-search,#button-search,False,0.0356
opencart,S2,2,#button-search,#button-search,False,0.0346
opencart,S2,3,#button-search,#button-search,False,0.0365
taiga,S1,1,.btn-login,button[type=submit],False,0.0439
taiga,S1,2,.btn-login,button[type=submit],False,0.034
taiga,S1,3,.btn-login,button[type=submit],False,0.0325
taiga,S2,1,button[type=submit],button[type=submit],False,0.0451
taiga,S2,2,button[type=submit],button[type=submit],False,0.036
taiga,S2,3,button[type=submit],button[type=submit],False,0.0387
