log,subject,enforced_oracle,class,oracle_source
exp1_ankidroid_S1_qwen_20260730_170513.log,ankidroid,com.ichi2.anki:id/getStartedButton,B,SymptomReport echo
exp1_newpipe_S1_qwen_20260731_075015.log,newpipe,(element not found — wrong resource-id or selec,A2,SymptomReport echo
exp1_newpipe_S1_qwen_20260731_075015.log,newpipe,com.example.newpipe:id/search_bu,A1,SymptomReport echo
exp1_newpipe_S1_qwen_20260731_075015.log,newpipe,(element not found — wrong resource-id or selec,A2,SymptomReport echo
exp1_newpipe_S1_qwen_20260731_075015.log,newpipe,com.example.newpipe:id/search_bu,A1,SymptomReport echo
exp1_wiki_S1_llama_20260731_112247.log,wikipedia,new UiSelector().re,B,SymptomReport echo
exp1_wiki_S1_llama_20260731_112247.log,wikipedia,new UiSelector().re,B,SymptomReport echo
exp1_wiki_S1_llama_20260731_112247.log,wikipedia,org.wikipedia.alpha:id/onboa,B,SymptomReport echo
exp1_wiki_S1_llama_20260731_112247.log,wikipedia,org.wikipedia.alpha:id/onboa,B,SymptomReport echo
exp1_wiki_S1_llama_20260731_112247.log,wikipedia,new UiSelector().re,B,SymptomReport echo
exp1_wiki_S1_llama_20260731_112247.log,wikipedia,new UiSelector().re,B,SymptomReport echo
exp1_wiki_S1_llama_20260731_112247.log,wikipedia,org.wikipedia.alpha:id/onboa,B,SymptomReport echo
exp1_wiki_S1_llama_20260731_112247.log,wikipedia,org.wikipedia.alpha:id/onboa,B,SymptomReport echo
exp1_wiki_S1_llama_20260731_112247.log,wikipedia,new UiSelector().re,B,SymptomReport echo
exp1_wiki_S1_llama_20260731_112247.log,wikipedia,new UiSelector().re,B,SymptomReport echo
exp1_wiki_S1_llama_20260731_112247.log,wikipedia,org.wikipedia.alpha:,B,SymptomReport echo
exp1_wiki_S1_llama_20260731_112247.log,wikipedia,org.wikipedia.alpha:,B,SymptomReport echo
exp1_wiki_S1_llama_20260731_112247.log,wikipedia,new UiSelector().re,B,SymptomReport echo
exp1_wiki_S1_llama_20260731_112247.log,wikipedia,new UiSelector().re,B,SymptomReport echo
exp1_wiki_S1_llama_20260731_112247.log,wikipedia,org.wikipedia.alpha:id/onboa,B,SymptomReport echo
exp_gvpv_ext_ankidroid_S1_qwen_gvpv_on_20260801_103616.log,ankidroid,com.ichi2.anki:id/get_started,B,SymptomReport echo
exp_gvpv_ext_ankidroid_S1_qwen_gvpv_on_20260801_103616.log,ankidroid,com.ichi2.anki:id/getStartedButton,B,SymptomReport echo
exp_gvpv_ext_ankidroid_S2_qwen_gvpv_on_20260801_110803.log,ankidroid,Get Started,B,SymptomReport echo
exp_gvpv_ext_ankidroid_S2_qwen_gvpv_on_20260801_110803.log,ankidroid,Get Started,B,SymptomReport echo
exp_gvpv_ext_ankidroid_S2_qwen_gvpv_on_20260801_110803.log,ankidroid,Get Started,B,SymptomReport echo
exp_gvpv_ext_newpipe_S1_qwen_gvpv_on_20260801_113744.log,newpipe,2023-04-01T12:00:00+00:00,A3,Check2 rejection
exp_gvpv_ext_wikipedia_S2_qwen_gvpv_off_20260801_134056.log,wikipedia,All the world's knowledge,B,SymptomReport echo
exp_gvpv_ext_wikipedia_S2_qwen_gvpv_on_20260801_132044.log,wikipedia,com.example.app:id/login_username,A1,Check2 rejection
exp_gvpv_ext_wikipedia_S2_qwen_gvpv_on_20260801_132044.log,wikipedia,com.example.app:id/login_username,A1,Check2 rejection
exp_gvpv_ext_wikipedia_S2_qwen_gvpv_on_20260801_132044.log,wikipedia,com.example.app:id/login_username,A1,Check2 rejection
exp_gvpv_paired_newpipe_S1_qwen_gvpv_on_20260801_014619.log,newpipe,(element not found — wrong resource-id or selec,A2,SymptomReport echo
exp_gvpv_paired_newpipe_S1_qwen_gvpv_on_20260801_014619.log,newpipe,com.example.newpipe:id/search_bu,A1,SymptomReport echo
exp_gvpv_paired_newpipe_S1_qwen_gvpv_on_20260801_014619.log,newpipe,(element not found — wrong resource-id or selec,A2,SymptomReport echo
exp_gvpv_paired_newpipe_S1_qwen_gvpv_on_20260801_014619.log,newpipe,com.example.newpipe:id/search_bu,A1,SymptomReport echo
exp_wiki_gvpv_fixed_S2_gvpv_on_20260801_151001.log,wikipedia,com.example.app:id/login_username,A1,Check2 rejection
exp_wiki_gvpv_fixed_S2_gvpv_on_20260801_151001.log,wikipedia,com.example.app:id/login_username,A1,Check2 rejection
exp_wiki_gvpv_fixed_S2_gvpv_on_20260801_151001.log,wikipedia,com.example.app:id/login_username,A1,Check2 rejection
exp_wiki_gvpv_fixed_S2_gvpv_on_20260801_151001.log,wikipedia,com.example.app:id/login_username,A1,Check2 rejection
exp_wiki_gvpv_fixed_S2_gvpv_on_20260801_151001.log,wikipedia,com.example.app:id/login_username,A1,Check2 rejection
exp_wiki_gvpv_fixed_S2_gvpv_on_20260801_151001.log,wikipedia,com.example.app:id/login_username,A1,Check2 rejection
exp_wiki_gvpv_fixed_S2_gvpv_on_20260801_151001.log,wikipedia,com.example.app:id/login_username,A1,Check2 rejection
