app,scenario,run,broken_locator,correct_locator,success,mttr_s,healed_to,error
ghost,S1,1,.gh-btn,.gh-btn-primary,True,0.0554,Forgot?,
ghost,S1,2,.gh-btn,.gh-btn-primary,True,0.0524,Forgot?,
ghost,S1,3,.gh-btn,.gh-btn-primary,True,0.0443,Forgot?,
ghost,S2,1,.gh-btn-primary,.gh-btn-primary,False,0.0394,,not_healed
ghost,S2,2,.gh-btn-primary,.gh-btn-primary,False,0.0402,,not_healed
ghost,S2,3,.gh-btn-primary,.gh-btn-primary,False,0.0364,,not_healed
opencart,S1,1,.btn-success,.btn-primary,False,0.0361,,not_healed
opencart,S1,2,.btn-success,.btn-primary,False,0.0369,,not_healed
opencart,S1,3,.btn-success,.btn-primary,False,0.0353,,not_healed
opencart,S2,1,#button-search,#button-search,False,0.0356,,not_healed
opencart,S2,2,#button-search,#button-search,False,0.0346,,not_healed
opencart,S2,3,#button-search,#button-search,False,0.0365,,not_healed
taiga,S1,1,.btn-login,button[type=submit],False,0.0439,,not_healed
taiga,S1,2,.btn-login,button[type=submit],False,0.034,,not_healed
taiga,S1,3,.btn-login,button[type=submit],False,0.0325,,not_healed
taiga,S2,1,button[type=submit],button[type=submit],False,0.0451,LOGIN,text_mismatch
taiga,S2,2,button[type=submit],button[type=submit],False,0.036,LOGIN,text_mismatch
taiga,S2,3,button[type=submit],button[type=submit],False,0.0387,LOGIN,text_mismatch
